Region,year,school_fragility_score,school_count,schools_per_1000_children,school_age_pop
Giwa,2024,1.0,0.0,0.0,5154.375
Igabi,2024,0.0,44.0,5.5462592687131105,7933.275
Ikara,2024,0.7339346410445726,2.0,0.5321307179108549,3758.475
Jaba,2024,1.0,0.0,0.0,2288.85
Jema'a,2024,0.4772116560889158,5.0,1.0455766878221684,4782.05
Kachia,2024,0.4708126729781076,5.0,1.0583746540437848,4724.225
Kaduna North,2024,0.0,26.0,5.329124691269458,4878.85
Kaduna South,2024,0.0,9.0,5.797474877608864,1552.4
Kagarko,2024,0.14863426747073438,6.0,1.7027314650585312,3523.75
Kajuru,2024,1.0,0.0,0.0,4280.325
Kaura,2024,1.0,0.0,0.0,3108.275
Kauru,2024,1.0,0.0,0.0,2442.375
Kubau,2024,0.9008826400899985,1.0,0.1982347198200029,5044.525
Kudan,2024,1.0,0.0,0.0,2285.225
Lere,2024,1.0,0.0,0.0,6110.75
Markafi,2024,1.0,0.0,0.0,3359.6
Sabon-Gari,2024,0.0,9.0,2.261192904879152,3980.2
Sanga,2024,0.8621165115477422,1.0,0.2757669769045157,3626.25
Soba,2024,1.0,0.0,0.0,5306.575
Zango-Kataf,2024,1.0,0.0,0.0,4419.475
Zaria,2024,0.8267513275179529,3.0,0.3464973449640943,8658.074999999999
Ajingi,2024,1.0,0.0,0.0,2995.725
Albasu,2024,1.0,0.0,0.0,3128.65
Bagwai,2024,1.0,0.0,0.0,3497.775
Bebeji,2024,1.0,0.0,0.0,3681.325
Bichi,2024,1.0,0.0,0.0,4697.725
Bunkure,2024,1.0,0.0,0.0,2844.025
Dala,2024,0.5593306232166662,4.0,0.8813387535666678,4538.55
Dambatta,2024,0.0,14.0,3.3230082719170198,4213.05
Dawakin Kudu,2024,1.0,0.0,0.0,4003.75
Dawakin Tofa,2024,0.7561124321687702,2.0,0.4877751356624596,4100.25
Doguwa,2024,1.0,0.0,0.0,2547.45
Fagge,2024,0.0,15.0,5.503779261759742,2725.4
Gabasawa,2024,0.7020950167943935,2.0,0.5958099664112131,3356.775
Garko,2024,1.0,0.0,0.0,2653.375
Garum Mallam,2024,1.0,0.0,0.0,2251.625
Gaya,2024,1.0,0.0,0.0,2860.275
Gezawa,2024,1.0,0.0,0.0,3930.7000000000003
Gwale,2024,0.0,55.0,3.648491100169323,15074.725
Gwarzo,2024,1.0,0.0,0.0,3301.075
Kabo,2024,1.0,0.0,0.0,3377.825
Kano Municipal,2024,0.7850294509652178,3.0,0.4299410980695645,6977.7
Karaye,2024,1.0,0.0,0.0,3450.725
