Region,Population
Bale,301797.0
Banwa,367005.0
Mouhoun,418230.0
Bougouriba,172108.0
Ioba,248104.0
Noumbiel,109118.0
Poni,404877.0
Gourma,496513.0
Kompienga,192157.0
Houet,1608960.0
Kenedougou,481434.0
Tuy,378259.0
Kadiogo,4224499.0
Bam,396862.0
Namentenga,480129.0
Sandbondtenga,864315.0
Oudalan,315885.0
Seno,387673.0
Yagha,244550.0
Boulgou,807031.0
Koulpelogo,401974.0
Kourittenga,487632.0
Boulkiemde,678729.0
Sanguie,380408.0
Sissili,333176.0
Ziro,316299.0
Bazega,266644.0
Nahouri,253393.0
Zoundweogo,360235.0
Bassitenga,304833.0
Ganzourgou,455591.0
Kourweogo,173653.0
Gnagna,625902.0
Komandjari,140907.0
Djelgodji,338144.0
Karo-Peli,180848.0
Kossin,358840.0
Nayala,208622.0
Sourou,273975.0
Comoe,941571.0
Leraba,183427.0
Dyamongou,173952.0
Gobnangou,404951.0
Loroum,201650.0
Passore,412650.0
Yatenga,731171.0
Zondoma,242000.0
